discharge_category,encounter_block
Home,81
Long Term Care Hospital (LTACH),45
Skilled Nursing Facility (SNF),25
Missing,17
Acute Inpatient Rehab Facility,15
Against Medical Advice (AMA),10
Acute Care Hospital,7
Psychiatric Hospital,3
Other,1
