med_category,med_dose_unit,total_N,min,max,first_quantile,second_quantile,third_quantile,missing_values
angiotensin,mcg/kg/min,131,0.0,0.40524873,0.0037937553133815527,0.02000032179057598,0.0350052434951067,0
angiotensin,ng/kg/min,359,0.0,83.689354,5.005508899688721,20.017616271972656,40.00038146972656,0
cisatracurium,mg/hour,100,0.0,38.461536,0.0,18.747018814086914,37.50379943847656,0
cisatracurium,mg/kg/hour,30979,0.0,33.707867,0.0,0.09988101571798325,0.1999402940273285,0
clevidipine,mg/hour,6564,0.0,240.0,0.0,3.035950183868408,7.9688146114349365,0
dopamine,mcg/kg/min,15536,0.0,4000.0,1.0004982650279999,5.000042676925659,9.67367148399353,0
epinephrine,mcg/kg/min,41495,0.0,41.14286,0.0,0.03001200407743454,0.08004056662321091,0
nicardipine,mcg/kg/min,52331,0.0,1739.7222,0.4951264262199402,1.000240683555603,1.8088951706886292,0
nicardipine,mg/hour,4167,0.0,2422.2454,0.0,5.007061958312988,10.013342380523682,0
nitroprusside,mcg/kg/min,5942,0.0,89.706856,0.2500625252723694,0.7055454254150391,1.4993589520454407,0
norepinephrine,mcg/kg/min,475491,0.0,359.5506,0.030005905777215958,0.08003782480955124,0.18002036958932877,0
norepinephrine,mg/kg/min,4,0.0,0.03018868,0.0,0.015037593431770802,0.03010356007143855,0
phenylephrine,mcg/kg/min,305662,-1.6572164,880.0587,0.2500250041484833,0.6118995249271393,1.498405545949936,0
phenylephrine,mcg/min,4,0.0,300.0,0.0,50.000003814697266,150.00000762939453,0
vasopressin,units/hour,55685,0.0,2400.0,0.0,1.2012012004852295,2.3999998569488525,0
vasopressin,units/min,4,0.0,0.08006492,0.04501800611615181,0.060036348178982735,0.06505274679511786,0
vecuronium,mcg/kg/min,2,0.0,0.10000658,0.0250016450881958,0.0500032901763916,0.0750049352645874,0
vecuronium,mg/kg/hour,265,0.0,0.31616768,0.0,0.04999331757426262,0.050490085035562515,0
