device_category,mode_category,variable,N,missing,min,q25,median,q75,mean,max
high flow nc,pressure support/cpap,peep_set,40,4,0.0,5.0,5.0,7.0,5.575,10.0
high flow nc,pressure-regulated volume control,peep_set,13,0,5.0,5.0,10.0,10.0,9.538461538461538,15.0
imv,assist control-volume control,peep_set,141872,1457,0.0,5.0,5.0,10.0,7.588256498815833,85.0
imv,other,peep_set,22872,1130,0.0,5.0,5.0,8.0,6.696720881427072,58.0
imv,pressure control,peep_set,9650,89,0.0,5.0,9.0,12.0,9.0700207253886,147.0
imv,pressure support/cpap,peep_set,264145,2308,0.0,5.0,5.0,8.0,19.802617501750934,3666670.0
imv,pressure-regulated volume control,peep_set,129959,1075,0.0,5.0,8.0,10.0,8.196637862710547,31.0
imv,simv,peep_set,11900,143,0.0,5.0,5.0,5.0,5.992983193277311,21.0
imv,volume support,peep_set,2418,15,0.0,5.0,5.0,8.0,6.446236559139785,16.0
nasal cannula,assist control-volume control,peep_set,52,3,5.0,5.0,5.0,5.0,5.576923076923077,12.0
nasal cannula,other,peep_set,90,44,0.0,5.0,5.0,8.0,6.188888888888889,13.0
nasal cannula,pressure support/cpap,peep_set,147,37,0.0,5.0,5.0,5.0,4.469387755102041,10.0
nasal cannula,pressure-regulated volume control,peep_set,25,0,5.0,5.0,5.0,5.0,5.76,13.0
nasal cannula,simv,peep_set,3,1,5.0,5.0,5.0,5.0,5.0,5.0
nippv,assist control-volume control,peep_set,52,3,5.0,5.0,5.0,5.0,5.6923076923076925,10.0
nippv,other,peep_set,9763,401,0.0,5.0,6.0,8.0,7.51757656458056,814.0
nippv,pressure control,peep_set,42,1,0.0,5.0,5.0,8.0,6.0,15.0
nippv,pressure support/cpap,peep_set,4452,189,0.0,5.0,5.0,8.0,6.197888589398024,25.0
nippv,pressure-regulated volume control,peep_set,7,0,5.0,5.0,5.0,7.5,7.0,14.0
nippv,simv,peep_set,62,3,0.0,5.0,5.0,6.75,5.854838709677419,10.0
other,assist control-volume control,peep_set,59,2,3.0,5.0,5.0,10.0,6.9491525423728815,15.0
other,other,peep_set,202,8,3.0,5.0,5.5,8.0,6.900990099009901,12.0
other,pressure control,peep_set,3,0,10.0,10.0,10.0,10.0,10.0,10.0
other,pressure support/cpap,peep_set,771,27,0.0,5.0,5.0,8.0,6.22568093385214,12.0
other,pressure-regulated volume control,peep_set,24,0,5.0,5.0,5.0,5.75,6.0,10.0
other,simv,peep_set,15,0,5.0,5.0,5.0,6.5,5.933333333333334,10.0
trach collar,assist control-volume control,peep_set,77,4,5.0,5.0,5.0,8.0,7.012987012987013,24.0
trach collar,other,peep_set,11,1,5.0,5.0,5.0,8.0,6.363636363636363,8.0
trach collar,pressure control,peep_set,2,0,7.0,7.0,7.0,7.0,7.0,7.0
trach collar,pressure support/cpap,peep_set,273,24,0.0,5.0,5.0,5.0,5.8388278388278385,12.0
trach collar,pressure-regulated volume control,peep_set,24,0,0.0,5.0,5.0,5.0,6.541666666666667,16.0
trach collar,simv,peep_set,14,0,5.0,5.0,5.0,5.0,5.571428571428571,10.0
trach collar,volume support,peep_set,5,0,5.0,5.0,5.0,5.0,5.6,8.0
cpap,assist control-volume control,lpm_set,0,4,,,,,,
cpap,other,lpm_set,204,172,0.0,3.0,5.0,8.0,6.174019607843137,30.0
cpap,pressure support/cpap,lpm_set,10,185,0.0,4.0,7.0,9.5,6.7,15.0
cpap,simv,lpm_set,0,1,,,,,,
face mask,assist control-volume control,lpm_set,7,28,3.0,6.0,10.0,12.5,9.285714285714286,15.0
face mask,other,lpm_set,42,17,4.0,10.0,10.0,12.0,10.69047619047619,15.0
face mask,pressure support/cpap,lpm_set,275,227,2.0,10.0,10.0,10.0,11.127272727272727,75.0
face mask,pressure-regulated volume control,lpm_set,3,16,10.0,10.0,10.0,12.5,11.666666666666666,15.0
face mask,simv,lpm_set,1,2,12.0,12.0,12.0,12.0,12.0,12.0
face mask,volume support,lpm_set,1,0,10.0,10.0,10.0,10.0,10.0,10.0
high flow nc,assist control-volume control,lpm_set,0,3,,,,,,
high flow nc,other,lpm_set,26,4,15.0,16.25,37.5,40.0,33.84615384615385,70.0
high flow nc,pressure support/cpap,lpm_set,25,19,10.0,15.0,15.0,40.0,27.68,60.0
high flow nc,pressure-regulated volume control,lpm_set,0,13,,,,,,
imv,assist control-volume control,lpm_set,233,143096,0.0,4.0,5.0,10.0,14.165236051502147,100.0
imv,other,lpm_set,25,23977,2.0,3.0,4.0,10.0,7.44,40.0
imv,pressure control,lpm_set,2,9737,3.0,12.25,21.5,30.75,21.5,40.0
imv,pressure support/cpap,lpm_set,263,266190,0.0,9.0,10.0,12.0,12.546007604562737,60.0
imv,pressure-regulated volume control,lpm_set,65,130969,0.0,4.0,5.0,12.0,14.584615384615384,100.0
imv,simv,lpm_set,17,12026,0.5,1.0,4.0,5.0,8.823529411764707,50.0
imv,volume support,lpm_set,2,2431,10.0,10.0,10.0,10.0,10.0,10.0
nasal cannula,assist control-volume control,lpm_set,10,45,2.0,2.25,3.0,4.0,3.1,4.0
nasal cannula,other,lpm_set,122,12,1.0,2.0,3.0,4.0,3.3237704918032787,10.0
nasal cannula,pressure support/cpap,lpm_set,122,62,0.0,3.0,4.0,4.0,3.5204918032786887,6.0
nasal cannula,pressure-regulated volume control,lpm_set,3,22,2.0,3.0,4.0,5.0,4.0,6.0
nasal cannula,simv,lpm_set,3,1,3.0,3.0,3.0,3.5,3.3333333333333335,4.0
nippv,assist control-volume control,lpm_set,1,54,3.0,3.0,3.0,3.0,3.0,3.0
nippv,other,lpm_set,5724,4440,0.0,4.0,6.0,10.0,7.131114605171209,65.0
nippv,pressure control,lpm_set,0,43,,,,,,
nippv,pressure support/cpap,lpm_set,113,4528,0.0,4.0,6.0,12.0,11.451327433628318,100.0
nippv,pressure-regulated volume control,lpm_set,0,7,,,,,,
nippv,simv,lpm_set,0,65,,,,,,
other,assist control-volume control,lpm_set,0,61,,,,,,
other,other,lpm_set,26,184,2.0,4.0,8.0,11.5,8.153846153846153,15.0
other,pressure control,lpm_set,0,3,,,,,,
other,pressure support/cpap,lpm_set,30,768,3.0,10.0,10.0,10.0,9.966666666666667,15.0
other,pressure-regulated volume control,lpm_set,0,24,,,,,,
other,simv,lpm_set,0,15,,,,,,
trach collar,assist control-volume control,lpm_set,5,76,5.0,5.0,5.0,5.0,12.0,40.0
trach collar,other,lpm_set,4,8,10.0,10.0,10.0,10.0,10.0,10.0
trach collar,pressure control,lpm_set,0,2,,,,,,
trach collar,pressure support/cpap,lpm_set,37,260,10.0,10.0,10.0,12.0,10.675675675675675,15.0
trach collar,pressure-regulated volume control,lpm_set,3,21,8.0,9.0,10.0,10.0,9.333333333333334,10.0
trach collar,simv,lpm_set,1,13,10.0,10.0,10.0,10.0,10.0,10.0
trach collar,volume support,lpm_set,0,5,,,,,,
cpap,assist control-volume control,resp_rate_set,3,1,14.0,18.0,22.0,22.0,19.333333333333332,22.0
cpap,other,resp_rate_set,12,364,5.0,8.0,12.0,16.25,12.416666666666666,24.0
cpap,pressure support/cpap,resp_rate_set,1,194,22.0,22.0,22.0,22.0,22.0,22.0
cpap,simv,resp_rate_set,1,0,12.0,12.0,12.0,12.0,12.0,12.0
face mask,assist control-volume control,resp_rate_set,34,1,0.0,13.25,14.5,18.0,15.352941176470589,28.0
face mask,other,resp_rate_set,1,58,16.0,16.0,16.0,16.0,16.0,16.0
face mask,pressure support/cpap,resp_rate_set,7,495,0.0,0.0,0.0,15.5,7.571428571428571,22.0
face mask,pressure-regulated volume control,resp_rate_set,19,0,12.0,16.0,16.0,18.0,17.210526315789473,22.0
face mask,simv,resp_rate_set,2,1,7.0,7.25,7.5,7.75,7.5,8.0
face mask,volume support,resp_rate_set,0,1,,,,,,
high flow nc,assist control-volume control,resp_rate_set,3,0,16.0,16.0,16.0,16.0,16.0,16.0
high flow nc,other,resp_rate_set,5,25,1.0,8.0,10.0,18.0,11.8,22.0
high flow nc,pressure support/cpap,resp_rate_set,1,43,0.0,0.0,0.0,0.0,0.0,0.0
high flow nc,pressure-regulated volume control,resp_rate_set,13,0,12.0,18.0,18.0,20.0,19.53846153846154,28.0
imv,assist control-volume control,resp_rate_set,141058,2271,0.0,15.0,18.0,22.0,18.748362375760326,1618.0
imv,other,resp_rate_set,880,23122,0.0,14.0,16.0,22.0,19.050568181818182,774.0
imv,pressure control,resp_rate_set,9572,167,0.0,15.0,20.0,28.0,21.23506059339741,549.0
imv,pressure support/cpap,resp_rate_set,6616,259837,0.0,0.0,15.0,18.0,17.380592503022974,879.0
imv,pressure-regulated volume control,resp_rate_set,129510,1524,0.0,16.0,20.0,25.0,21.122785885259827,580.0
imv,simv,resp_rate_set,11460,583,0.0,10.0,12.0,14.0,12.480802792321118,35.0
imv,volume support,resp_rate_set,40,2393,0.0,15.0,16.0,18.0,16.45,36.0
nasal cannula,assist control-volume control,resp_rate_set,51,4,12.0,13.0,14.0,16.0,15.27450980392157,32.0
nasal cannula,other,resp_rate_set,6,128,0.0,10.0,12.0,15.5,11.0,16.0
nasal cannula,pressure support/cpap,resp_rate_set,3,181,0.0,7.0,14.0,16.0,10.666666666666666,18.0
nasal cannula,pressure-regulated volume control,resp_rate_set,25,0,12.0,16.0,16.0,20.0,18.28,34.0
nasal cannula,simv,resp_rate_set,2,2,8.0,10.0,12.0,14.0,12.0,16.0
nippv,assist control-volume control,resp_rate_set,51,4,10.0,14.0,16.0,20.0,16.862745098039216,24.0
nippv,other,resp_rate_set,1801,8363,0.0,10.0,12.0,14.0,12.03553581343698,80.0
nippv,pressure control,resp_rate_set,40,3,10.0,14.0,16.0,20.0,17.4,30.0
nippv,pressure support/cpap,resp_rate_set,221,4420,0.0,10.0,12.0,16.0,17.443438914027148,560.0
nippv,pressure-regulated volume control,resp_rate_set,7,0,14.0,14.0,18.0,21.0,18.857142857142858,30.0
nippv,simv,resp_rate_set,53,12,8.0,10.0,12.0,14.0,12.150943396226415,30.0
other,assist control-volume control,resp_rate_set,58,3,8.0,14.0,18.0,26.0,19.17241379310345,30.0
other,other,resp_rate_set,19,191,0.0,10.0,10.0,15.0,12.421052631578947,22.0
other,pressure control,resp_rate_set,3,0,14.0,14.0,14.0,22.0,19.333333333333332,30.0
