discharge_category,encounter_block
Home,134
Long Term Care Hospital (LTACH),47
Skilled Nursing Facility (SNF),37
Acute Inpatient Rehab Facility,21
Missing,16
Acute Care Hospital,12
Against Medical Advice (AMA),10
Psychiatric Hospital,3
Other,1
