discharge_category,encounter_block
Home,71
Long Term Care Hospital (LTACH),44
Skilled Nursing Facility (SNF),22
Missing,18
Acute Inpatient Rehab Facility,15
Against Medical Advice (AMA),8
Acute Care Hospital,7
Psychiatric Hospital,3
Other,1
