,prop_blocks_failed
yellow_resp_spo2_flag,0.30687830687830686
yellow_fio2_flag,0.9312169312169312
yellow_peep_flag,0.9788359788359788
yellow_lactate_flag,0.9788359788359788
yellow_resp_rate_flag,1.0
yellow_map_flag,1.0
yellow_pulse_flag,1.0
