,prop_blocks_failed
team_peep_flag,0.028469750889679714
team_pulse_flag,0.042704626334519574
team_resp_rate_flag,0.042704626334519574
team_lactate_flag,0.16725978647686832
team_ne_flag,0.24199288256227758
team_fio2_flag,0.6405693950177936
