,prop_blocks_failed
patel_sbp_flag,0.04411764705882353
patel_pulse_flag,0.18627450980392157
patel_spo2_flag,0.2107843137254902
patel_resp_rate_flag,0.31862745098039214
patel_map_flag,0.8284313725490197
